record_id,product_name,product_version,age,sex,coverage_type,refund_type,payment_years,sum_assured_krw,coverage_end_age,payment_frequency,monthly_premium_krw,source_id,source_pdf_page
ansim-001,무배당엔젤안심보험,2023-09,30,남자,생활비보장형(장해),표준형,7,10000000,110,monthly,666800,tongyang_angel_ansim_202309_hana,3
ansim-002,무배당엔젤안심보험,2023-09,30,남자,생활비보장형(장해),표준형,10,10000000,110,monthly,487100,tongyang_angel_ansim_202309_hana,3
ansim-003,무배당엔젤안심보험,2023-09,30,남자,생활비보장형(장해),표준형,15,10000000,110,monthly,348200,tongyang_angel_ansim_202309_hana,3
ansim-004,무배당엔젤안심보험,2023-09,40,남자,생활비보장형(장해),표준형,7,10000000,110,monthly,892100,tongyang_angel_ansim_202309_hana,3
ansim-005,무배당엔젤안심보험,2023-09,40,남자,생활비보장형(장해),표준형,10,10000000,110,monthly,651800,tongyang_angel_ansim_202309_hana,3
ansim-006,무배당엔젤안심보험,2023-09,40,남자,생활비보장형(장해),표준형,15,10000000,110,monthly,466100,tongyang_angel_ansim_202309_hana,3
ansim-007,무배당엔젤안심보험,2023-09,50,남자,생활비보장형(장해),표준형,7,10000000,110,monthly,1193800,tongyang_angel_ansim_202309_hana,3
ansim-008,무배당엔젤안심보험,2023-09,50,남자,생활비보장형(장해),표준형,10,10000000,110,monthly,872700,tongyang_angel_ansim_202309_hana,3
ansim-009,무배당엔젤안심보험,2023-09,50,남자,생활비보장형(장해),표준형,15,10000000,110,monthly,624700,tongyang_angel_ansim_202309_hana,3
ansim-010,무배당엔젤안심보험,2023-09,30,여자,생활비보장형(장해),표준형,7,10000000,110,monthly,586100,tongyang_angel_ansim_202309_hana,3
ansim-011,무배당엔젤안심보험,2023-09,30,여자,생활비보장형(장해),표준형,10,10000000,110,monthly,428100,tongyang_angel_ansim_202309_hana,3
ansim-012,무배당엔젤안심보험,2023-09,30,여자,생활비보장형(장해),표준형,15,10000000,110,monthly,306000,tongyang_angel_ansim_202309_hana,3
ansim-013,무배당엔젤안심보험,2023-09,40,여자,생활비보장형(장해),표준형,7,10000000,110,monthly,784900,tongyang_angel_ansim_202309_hana,3
ansim-014,무배당엔젤안심보험,2023-09,40,여자,생활비보장형(장해),표준형,10,10000000,110,monthly,573400,tongyang_angel_ansim_202309_hana,3
ansim-015,무배당엔젤안심보험,2023-09,40,여자,생활비보장형(장해),표준형,15,10000000,110,monthly,409900,tongyang_angel_ansim_202309_hana,3
ansim-016,무배당엔젤안심보험,2023-09,50,여자,생활비보장형(장해),표준형,7,10000000,110,monthly,1051500,tongyang_angel_ansim_202309_hana,3
ansim-017,무배당엔젤안심보험,2023-09,50,여자,생활비보장형(장해),표준형,10,10000000,110,monthly,768600,tongyang_angel_ansim_202309_hana,3
ansim-018,무배당엔젤안심보험,2023-09,50,여자,생활비보장형(장해),표준형,15,10000000,110,monthly,550100,tongyang_angel_ansim_202309_hana,3
ansim-019,무배당엔젤안심보험,2023-09,30,남자,생활비보장형(장해),해약환급금일부지급형,7,10000000,110,monthly,619600,tongyang_angel_ansim_202309_hana,3
ansim-020,무배당엔젤안심보험,2023-09,30,남자,생활비보장형(장해),해약환급금일부지급형,10,10000000,110,monthly,443300,tongyang_angel_ansim_202309_hana,3
